Country,region
Afghanistan,South Asia
Albania,Europe & Central Asia
Algeria,Middle East & North Africa
Angola,Sub-Saharan Africa
Antigua and Barbuda,America
Argentina,America
Armenia,Europe & Central Asia
Aruba,America
Australia,East Asia & Pacific
Austria,Europe & Central Asia
Azerbaijan,Europe & Central Asia
Bahamas,America
Bahrain,Middle East & North Africa
Bangladesh,South Asia
Barbados,America
Belarus,Europe & Central Asia
Belgium,Europe & Central Asia
Belize,America
Benin,Sub-Saharan Africa
Bhutan,South Asia
Bolivia,America
Bosnia and Herzegovina,Europe & Central Asia
Botswana,Sub-Saharan Africa
Brazil,America
Brunei,East Asia & Pacific
Bulgaria,Europe & Central Asia
Burkina Faso,Sub-Saharan Africa
Burundi,Sub-Saharan Africa
Cambodia,East Asia & Pacific
Cameroon,Sub-Saharan Africa
Canada,America
Cape Verde,Sub-Saharan Africa
Central African Rep.,Sub-Saharan Africa
Chad,Sub-Saharan Africa
Channel Islands,Europe & Central Asia
Chile,America
China,East Asia & Pacific
Colombia,America
Comoros,Sub-Saharan Africa
"Congo, Dem. Rep.",Sub-Saharan Africa
"Congo, Rep.",Sub-Saharan Africa
Costa Rica,America
Cote d'Ivoire,Sub-Saharan Africa
Croatia,Europe & Central Asia
Cuba,America
Cyprus,Europe & Central Asia
Czech Rep.,Europe & Central Asia
Denmark,Europe & Central Asia
Djibouti,Middle East & North Africa
Dominican Rep.,America
Ecuador,America
Egypt,Middle East & North Africa
El Salvador,America
Equatorial Guinea,Sub-Saharan Africa
Eritrea,Sub-Saharan Africa
Estonia,Europe & Central Asia
Ethiopia,Sub-Saharan Africa
Fiji,East Asia & Pacific
Finland,Europe & Central Asia
France,Europe & Central Asia
French Guiana,America
French Polynesia,East Asia & Pacific
Gabon,Sub-Saharan Africa
Gambia,Sub-Saharan Africa
Georgia,Europe & Central Asia
Germany,Europe & Central Asia
Ghana,Sub-Saharan Africa
Greece,Europe & Central Asia
Greenland,Europe & Central Asia
Grenada,America
Guadeloupe,America
Guam,East Asia & Pacific
Guatemala,America
Guinea,Sub-Saharan Africa
Guinea-Bissau,Sub-Saharan Africa
Guyana,America
Haiti,America
Honduras,America
"Hong Kong, China",East Asia & Pacific
Hungary,Europe & Central Asia
Iceland,Europe & Central Asia
India,South Asia
Indonesia,East Asia & Pacific
Iran,Middle East & North Africa
Iraq,Middle East & North Africa
Ireland,Europe & Central Asia
Israel,Middle East & North Africa
Italy,Europe & Central Asia
Jamaica,America
Japan,East Asia & Pacific
Jordan,Middle East & North Africa
Kazakhstan,Europe & Central Asia
Kenya,Sub-Saharan Africa
Kiribati,East Asia & Pacific
"Korea, Dem. Rep.",East Asia & Pacific
"Korea, Rep.",East Asia & Pacific
Kuwait,Middle East & North Africa
Kyrgyzstan,Europe & Central Asia
Laos,East Asia & Pacific
Latvia,Europe & Central Asia
Lebanon,Middle East & North Africa
Lesotho,Sub-Saharan Africa
Liberia,Sub-Saharan Africa
Libya,Middle East & North Africa
Lithuania,Europe & Central Asia
Luxembourg,Europe & Central Asia
"Macao, China",East Asia & Pacific
"Macedonia, FYR",Europe & Central Asia
Madagascar,Sub-Saharan Africa
Malawi,Sub-Saharan Africa
Malaysia,East Asia & Pacific
Maldives,South Asia
Mali,Sub-Saharan Africa
Malta,Europe & Central Asia
Martinique,America
Mauritania,Sub-Saharan Africa
Mauritius,Sub-Saharan Africa
Mayotte,Sub-Saharan Africa
Mexico,America
"Micronesia, Fed. Sts.",East Asia & Pacific
Moldova,Europe & Central Asia
Mongolia,East Asia & Pacific
Montenegro,Europe & Central Asia
Morocco,Middle East & North Africa
Mozambique,Sub-Saharan Africa
Myanmar,East Asia & Pacific
Namibia,Sub-Saharan Africa
Nepal,South Asia
Netherlands,Europe & Central Asia
Netherlands Antilles,America
New Caledonia,East Asia & Pacific
New Zealand,East Asia & Pacific
Nicaragua,America
Niger,Sub-Saharan Africa
Nigeria,Sub-Saharan Africa
Norway,Europe & Central Asia
Oman,Middle East & North Africa
Pakistan,South Asia
Panama,America
Papua New Guinea,East Asia & Pacific
Paraguay,America
Peru,America
Philippines,East Asia & Pacific
Poland,Europe & Central Asia
Portugal,Europe & Central Asia
Puerto Rico,America
Qatar,Middle East & North Africa
Reunion,Sub-Saharan Africa
Romania,Europe & Central Asia
Russia,Europe & Central Asia
Rwanda,Sub-Saharan Africa
Saint Lucia,America
Saint Vincent and the Grenadines,America
Samoa,East Asia & Pacific
Sao Tome and Principe,Sub-Saharan Africa
Saudi Arabia,Middle East & North Africa
Senegal,Sub-Saharan Africa
Serbia,Europe & Central Asia
Seychelles,Sub-Saharan Africa
Sierra Leone,Sub-Saharan Africa
Singapore,East Asia & Pacific
Slovak Republic,Europe & Central Asia
Slovenia,Europe & Central Asia
Solomon Islands,East Asia & Pacific
Somalia,Sub-Saharan Africa
South Africa,Sub-Saharan Africa
South Sudan,Sub-Saharan Africa
Spain,Europe & Central Asia
Sri Lanka,South Asia
Sudan,Sub-Saharan Africa
Suriname,America
Swaziland,Sub-Saharan Africa
Sweden,Europe & Central Asia
Switzerland,Europe & Central Asia
Syria,Middle East & North Africa
Taiwan,East Asia & Pacific
Tajikistan,Europe & Central Asia
Tanzania,Sub-Saharan Africa
Thailand,East Asia & Pacific
Timor-Leste,East Asia & Pacific
Togo,Sub-Saharan Africa
Tokelau,East Asia & Pacific
Tonga,East Asia & Pacific
Trinidad and Tobago,America
Tunisia,Middle East & North Africa
Turkey,Europe & Central Asia
Turkmenistan,Europe & Central Asia
Uganda,Sub-Saharan Africa
Ukraine,Europe & Central Asia
United Arab Emirates,Middle East & North Africa
United Kingdom,Europe & Central Asia
United States,America
Uruguay,America
Uzbekistan,Europe & Central Asia
Vanuatu,East Asia & Pacific
Venezuela,America
Vietnam,East Asia & Pacific
Virgin Islands (U.S.),America
West Bank and Gaza,Middle East & North Africa
Western Sahara,Middle East & North Africa
"Yemen, Rep.",Middle East & North Africa
Zambia,Sub-Saharan Africa
Zimbabwe,Sub-Saharan Africa
Ã…land,Europe & Central Asia
